id,faculty_name,lecture_name,register,passed
10001,文学部,Foundations I-Seminar (KBR/VMC),"{2,NULL,NULL,NULL,NULL}","{2,NULL,NULL,NULL,NULL}"
10002,文学部,Foundations I-Seminar(VMC),"{1,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10003,文学部,Introduction-Introductory seminar (SEG),"{1,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10004,文学部,Research 1~3-Seminar (VMC)(Lecture),"{1,NULL,3,1,NULL}","{0,NULL,3,0,NULL}"
10005,文学部,Skills for Transcultural Studies I-English,"{1,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10006,文学部,アジア研究(特殊講義),"{106,69,84,99,140}","{71,47,55,70,107}"
10007,文学部,アメリカ文学(演習I),"{12,17,22,19,19}","{11,13,15,16,16}"
10008,文学部,アメリカ文学(演習II),"{4,9,8,3,8}","{4,9,7,3,8}"
10009,文学部,アメリカ文学(外国語実習),"{30,27,27,14,8}","{25,23,18,14,7}"
10010,文学部,アメリカ文学(講義A),"{23,62,42,43,26}","{17,51,30,28,20}"
10011,文学部,アメリカ文学(講義B),"{31,54,48,63,35}","{25,37,34,35,22}"
10012,文学部,アメリカ文学(講読),"{34,35,33,49,40}","{32,32,25,37,28}"
10013,文学部,アメリカ文学(特殊講義),"{52,56,74,49,47}","{43,43,40,35,29}"
10014,文学部,アラブ語(初級),"{8,21,24,17,11}","{6,20,18,15,6}"
10015,文学部,イタリア語(会話),"{3,6,NULL,3,1}","{3,4,NULL,3,1}"
10016,文学部,イタリア語(初級4時間コース)I,"{10,NULL,NULL,NULL,NULL}","{7,NULL,NULL,NULL,NULL}"
10017,文学部,イタリア語(初級4時間コース)II,"{7,NULL,NULL,NULL,NULL}","{5,NULL,NULL,NULL,NULL}"
10018,文学部,イタリア語学イタリア文学(演習),"{13,7,3,2,9}","{11,7,3,1,8}"
10019,文学部,イタリア語学イタリア文学(外国語実習),"{4,3,NULL,1,3}","{3,3,NULL,1,3}"
10020,文学部,イタリア語学イタリア文学(講義),"{36,24,NULL,1,14}","{23,9,NULL,1,13}"
